die_number,dimension1,dimension2,dimension3,dimension4,wt_kg_p_mt,die_diagram,die_group,die_category
46501,17.5,33,4.9,0,0.8,die_profile_images/.net_data/649257f1-5232-456c-b8ca-ad284d7c8c66_46501.jpg,43,2
46502,82.7,37,1.8,0,1.45,die_profile_images/.net_data/1e66ed2b-adbd-4dce-ac92-3a451532b7ad_46502.jpg,43,2
46503,114.2,47.69,1.4,0,1.898,die_profile_images/.net_data/18d287cf-e4f6-40b6-aaf9-565cdc3c051c_46503.jpg,43,2
46504,100,47,1.3,0,2.958,die_profile_images/.net_data/ee8c98eb-5945-4f19-9cfa-65753018dc2c_66138.jpg,43,2
46505,32,25.5,1.2,0,0.302,die_profile_images/2021/03/15/023832/46505.jpg,43,2
46506,50,46,1.4,0,0.818,die_profile_images/.net_data/5faabc54-7e84-4da1-b925-e1dd337763a6_46506.jpg,43,2
46507,66,50,1.5,0,0.991,die_profile_images/.net_data/8d5863f6-6c4b-46a8-9924-ffca27ea5196_46507.jpg,43,2
46508,78.5,58,1.4,0,1.13,die_profile_images/.net_data/32da4a9d-0430-4402-8c8b-1dcea17be520_46508.jpg,43,2
46509,19.3,20,1.2,0,0.202,die_profile_images/2021/10/02/111657/46509.jpg,43,2
46510,39.6,32,1.3,0,0.369,die_profile_images/2021/10/02/112253/46510.jpg,43,2
46511,32,40,1.2,0,0.499,die_profile_images/2021/10/02/114635/46511.jpg,43,2
68001,118.7,56,2,0,2.75,die_profile_images/.net_data/f566a890-12cc-4a11-88fc-cd266d9b9596_68001.jpg,44,2
68002,42.5,17,1.5,0,0.588,die_profile_images/.net_data/7793a430-03c5-4d70-9df7-2a4eec917cfb_68002.jpg,44,2
68003,102.9,17,3,0,1.419,die_profile_images/.net_data/c238a665-7f85-4299-bdb8-1bf5b9707009_68003.jpg,44,2
68004,69.3,24.7,1.5,0,0.483,die_profile_images/.net_data/82fb09b9-b12f-4879-8701-4167396ce525_68004.jpg,44,2
68005,39,19,2,0,0.495,die_profile_images/.net_data/f1ebb990-e5a0-4961-a6a5-b3626abf5026_68005.jpg,44,2
68006,57.25,17,3,0,0.824,die_profile_images/.net_data/bbe158cb-49e0-466d-b6fd-7c5513171a22_68006.jpg,44,2
68007,72,58,2,0,2.138,die_profile_images/.net_data/08604649-48d3-467c-9645-d04ace3902f5_68007.jpg,44,2
68008,18.25,19,2,0,0.305,die_profile_images/.net_data/3939a953-812d-4034-adb5-09b87df32347_68008.jpg,44,2
68009,110,56,2,0,2.788,die_profile_images/.net_data/28ee923a-5409-4706-b3bd-80ef21f06517_68009.jpg,44,2
68010,102,17,3,0,0.495,die_profile_images/.net_data/e4cb509e-4db0-4e48-8017-92b0ed62e16b_68010.jpg,44,2
68011,87.13,20.64,3,0,0.894,die_profile_images/.net_data/4f5feae9-c4d6-4818-849c-c4061e079ba5_68011.jpg,44,2
68012,102.9,17,2,0,1.484,die_profile_images/.net_data/2e5497fa-68c5-4350-863c-e4ce51008b65_68012.jpg,44,2
68013,63,56.94,2,0,1.485,die_profile_images/.net_data/0e432373-8ba6-495b-af3b-a890d32d90fd_68013.jpg,44,2
68014,58.54,56.94,2,0,1.393,die_profile_images/.net_data/d82b1322-7203-442c-bb9e-6dfb3d7c486a_68014.jpg,44,2
68015,52.57,21.59,0,0,1.841,die_profile_images/.net_data/1181df35-aa2b-4017-bac3-86d698ffec95_68015.jpg,44,2
68016,80.83,56.94,2,0,1.663,die_profile_images/.net_data/a8b0de59-03dd-4888-9773-60c2e2d25062_68016.jpg,44,2
