die_number,dimension1,dimension2,dimension3,dimension4,wt_kg_p_mt,die_diagram
0,38,32,1.1,0,0.472,die_profile_images/.net_data/bc5cc02e-c0fb-4059-8ddd-782f904aa945_71004.jpg
0,69.3,35.2,1.4,0,0.85,die_profile_images/.net_data/f5601ab7-be38-489e-abd6-ee5faae44142_71007.jpg
0,53.35,10.5,2.5,0,0.766,die_profile_images/2022/02/06/054514/75005.jpg
0,50,50,4,0,1.25,die_profile_images/2022/12/27/034403/12215.jpg
0,65,32,1.26,0,0.926,die_profile_images/2024/02/21/104950/47109.jpg
0,40,39.3,1.2,0,0.572,die_profile_images/.net_data/3b064bd8-d885-4cae-92bb-5e0c8e124d5e_34003.jpg
0,62.23,17.49,2.25,0,0.971,die_profile_images/2022/05/16/120549/77006.jpg
0,15.5,10,0,0,0.418,die_profile_images/2023/01/28/025145/11142.jpg
0,47.5,43,1.4,0,0.684,die_profile_images/2023/07/06/040133/71102.jpg
0,32.24,17.04,1.2,0,0.221,die_profile_images/2022/07/06/124729/72605.jpg
0,42.92,20.58,2,0,0.769,die_profile_images/2022/08/03/040338/47397.jpg
0,25,3,1.5,0,0.14,die_profile_images/2024/03/16/093644/69965.jpg
10001,25,0,0,0,1.325,die_profile_images/.net_data/895c5b55-e551-4b66-aaff-e16713c42bf6_ROUND BAR.jpg
10002,28,0,0,0,1.662,die_profile_images/.net_data/e2756cd7-3ef8-4c62-86c1-77993e201620_ROUND BAR.jpg
10003,25.4,0,0,0,1.368,die_profile_images/.net_data/50e083b9-8fc8-4e91-aca7-64c4807b6cbc_ROUND BAR.jpg
10004,24.25,0,0,0,1.247,die_profile_images/.net_data/f826e112-6af4-4b44-ad8f-ee25ee92e4a9_ROUND BAR.jpg
10005,10.5,0,0,0,0.233,die_profile_images/.net_data/7269c98f-3dfd-4215-a460-2499c16c4437_ROUND BAR.jpg
10006,7,0,0,0,0.103,die_profile_images/.net_data/c4a83ad1-3ba1-4495-8a3e-5f862b1cfa0e_ROUND BAR.jpg
10007,19,0,0,0,0.765,die_profile_images/.net_data/989d8289-54d6-4c57-84a6-070fe4d8a8d1_ROUND BAR.jpg
10008,32,0,0,0,2.152,die_profile_images/.net_data/bb9dab8a-028d-45e9-82a0-d5657c2d49e7_ROUND BAR.jpg
