name,deleted
AJNI INDUSTRIES PVT. LTD.,0
RECTANGULAR TUBE,0
SQUARE TUBE,0
FLAT BAR,0
ROUND TUBE,0
SP RECTANGULAR TUBE,0
SP SQUARE TUBE,0
SOLID SQUARE BAR,0
EQUAL L ANGLE,0
UNEQUAL L ANGLE,0
SP UNEQUAL ANGLE,0
ROUND BAR,0
PLAIN T,0
EQUAL CHANNEL,0
UNEQUAL CHANNEL,0
DOUBLE CHANNEL,0
HEXAGON ROUND TUBE,0
HEXAGON BAR,0
F SECTION,0
Facade One International Private Limited,0
WINDOR INDIA PVT. LTD.,0
ROYAL ARCHITECTURAL SOLUTIONS,0
BHAVYA ALUMINUM,0
Matrix Aluminium pvt. ltd.,0
AJNI TECHNOLOGIES LLP,0
DEV GLASS,0
Louver section,0
SP Equal T,0
Ferrous & Non Ferrous Metals,0
Accorr,0
AC Sections,0
Hi-Tech Aluminium,0
VISHWAS AUTOMATION PRIVATE LIMITED,0
GAYATRI ROLLING SHUTTERS AND MECHANICAL,0
UNIMAPLE MODUTECH PRIVATE LIMITED,0
SAI MICRO SYSTEMS,0
ANGEL FACADE,0
Alfa Facade System Pvt. Ltd,0
Harsh Indra,0
RAILING,0
Karni Alum Fab,0
Stephen Industries,0
V&G Facade System,0
Commercial Window,0
Maruti nandan,0
KICH ARCHITECTURAL PRODUCTS,0
HARDWARE PROFILES PRIVATE,0
Apex Air Filter,0
SHIVAM PRODUCTS,0
INTERIOR SPECIAL PROFILE,0
TRIANGLE TUBE,0
3D Mega structure,0
SPECIAL ROUND TUBE,0
Hardware Profiles,0
Guide section,0
Ajni Technogies LLP,0
Louvers section Private,0
Curtain Wall,0
I PROFILES,0
M SECTION,0
CHANNEL,0
SPECIAL L ANGLE,0
HEAT SINK,0
DOMAL WINDOW SERIES,0
V3 Facade,0
Hi - Fab Aluminium Private Limited,0
Shivdarshan Interiors,0
Door Closer,0
OPENABLE WINDOW SERIES,0
SPECIAL CHANNEL,0
MOULDING DOOR SERIES,0
18 MM SLIDING WINDOW SERIES,0
25 MM SLIDING WINDOW SERIES,0
DOOR SERIES,0
ALUM FAB,0
BHANSALI ALUMINIUM,0
AIR HANDLING UNIT,0
RUDRAKSH ALUMINIUM,0
UNEQUAL T,0
Door bottom,0
SINGLE PARTITION,0
DOUBLE PARTITION,0
SINGLE PARTITION LEG,0
PARTITION SECTIONS,0
DJ ENTERPRISE,0
REMSON RAIL SYSTEMS INC.,0
Ambalica Enterprise (royal),0
YAMUNA,0
SPECIAL BARS,0
VITRUM SYSTEMS LLP.,0
LAXMI TRADING COMPANY,0
PERFECT GLAZE INDIA PVT LTD,0
ATUL BRASS WORKS,0
AUM INDUSTRIES,0
AYKKA TECHNOVISION PVT. LTD.,0
BANSAL METAL,0
CHINIWALA,0
CYROGAS INDUSTRIES,0
DREAM HOME ELEMENTS,0
HI-TECH THERMOFORMERS,0
INDUSTRIAL COMMON,0
INFRA SYS SOLUTION,0
KAB ALUMINIUM,0
KITCHEN PROFILES,0
MARUDHAR INTERIOR,0
NEW LAXMI ENGINEERING,0
PERFECT ENGINEERING,0
POOJA SALES (ROYAL ALUMINIUM),0
PYROTECH ELECTRONICS PVT LTD,0
ROYAL ALUMINIUM,0
SEVEN H SYSTEMS,0
SHUBHAM MANUFACTURE,0
TOWER BOLT,0
WELSPUN GLOBAL BRAND LIMITED,0
AKAR ALUMINIUM,0
NA,0
HYTEK INTERIOR PRODUCTS,0
ALULINE SYSTEMS PVT. LTD.,0
DELA PARTITION SYSTEMS,0
BANCO ALUMINIUM LTD,0
SHREE RIDDHI ENGINEERING,0
PRIME INTERIOR,0
SAUC SYSTEMS,0
ASHOK STEEL CRAFT PVT LTD,0
SHREE ASHAPURA ALUMINIUM,0
GODREJ & BOYCE MFG. CO. LTD.,0
SHIV OM BRASS INDUSTRIES,0
BOYD THERMAL SYSTEM INDIA PVT. LTD.,0
BIRVA INDUSTRIES,0
HIMALAY ENGINEERING CO.,0
EXOTIC FENESTRATION PVT LTD,0
JAY KHODIYAR,0
INNOVATION GLASS,0
DEVIL TRUSS,0
KIRAN METAL CORPORATION,0
AXTEL INDUSTRIES LIMITED,0
ANOVI ENGINEERING PVT. LTD.,0
SOLAR COMMON PROFILE,0
ALUWIN SOLUTION,0
ORANGE STRETCH CEILINGS,0
REGAL ALLUFIN INDUSTRIES,0
TECHNO RAIL,0
METRIX,0
SYNERGY AGROTECH PVT LTD,0
SHATABDI SAFETY GLASS INDUSTRIES,0
SHREE PRAMUKH ENTERPRISE,0
HOME CARE LIFESTYLE,0
HINDUSTAN ALUMINIUM CORPORATION,0
EAGLE BOBBIN,0
WELMON WOODPLANT PVT LTD,0
PERFECT LEADERS,0
SAMARTH ENTERPRISES,0
BALAJI ENGINEERING,0
POWER LINE,0
BUCHI OPERATIONS INDIA PVT LTD,0
METALIST SYSTEM,0
INTEGRATED CLEAN ROOM TECHNOLOGIES PVT LTD,0
INTECH,0
INTECH STRUCTURAL SYSTEM PVT LTD,0
AUM MECHANICAL WORKS,0
BUIBOT SYSTAMS,0
TELESIA SYSTEMS PRIVETE LIMITED,0
BAJARANG ALUMINIUM,0
INTEGRA ENGINEERING,0
HAFELE INDIA PVT LTD,0
DELTA POWER SOLUTION,0
ASHISH FORGING,0
HI-FAB ALUMINIUM,0
ANGIRA BUILDING,0
LIQUIRE,0
STANDARD RADIATORS PVT LTD,0
WIND-FOR-ALL POWERTECH LLP,0
3K CREATION,0
AJNI INDUSTRIES OLD NUMBER,0
BARODA POLYFORM,0
ULTRA DIE CAST,0
SANVIK ENTERPRISE,0
WETECH,0
KANSARA LALJIBHAI MOHANLAL,0
SHIV ELECTRO CONTROL,0
SIDDHI ENGINEERING,0
AASTHA EXPORT,0
BIMAL PARMAR,0
PROFINE INDIA WINDOW TECHNOLOGY PVT. LTD.,0
IMEX DOORS,0
WELLTEK,0
BHARAT ELECTRONICS,0
VARCAS WINDOWS,0
SAIRA ASIA,0
R50 CASEMENT WINDOWS,0
R40 CASEMENT WINDOWS,0
PROSPEC SPECIALTIES,0
