code,name,capacity,billet_diameter,billet_length_min,billet_length_max,billet_weight,billet_wt_factor,extrusion_length_min,extrusion_length_max
P1000,Press 1000T,1000.0,152.4,300.0,600.0,45.0,1.200,3000.0,8000.0
P1250,Press 1250T,1250.0,177.8,350.0,700.0,65.0,1.250,3500.0,9000.0
P1500,Press 1500T,1500.0,203.2,400.0,800.0,95.0,1.300,4000.0,10000.0
P1800,Press 1800T,1800.0,228.6,450.0,900.0,125.0,1.350,4500.0,12000.0
P2000,Press 2000T,2000.0,254.0,500.0,1000.0,155.0,1.400,5000.0,14000.0
P2500,Press 2500T,2500.0,279.4,550.0,1100.0,195.0,1.450,5500.0,16000.0
P3000,Press 3000T,3000.0,304.8,600.0,1200.0,245.0,1.500,6000.0,18000.0
P3500,Press 3500T,3500.0,330.2,650.0,1300.0,295.0,1.550,6500.0,20000.0
P4000,Press 4000T,4000.0,355.6,700.0,1400.0,355.0,1.600,7000.0,22000.0
P4500,Press 4500T,4500.0,381.0,750.0,1500.0,425.0,1.650,7500.0,24000.0
P5000,Press 5000T,5000.0,406.4,800.0,1600.0,495.0,1.700,8000.0,26000.0
P6000,Press 6000T,6000.0,431.8,850.0,1700.0,585.0,1.750,8500.0,28000.0
P800,Press 800T,800.0,127.0,250.0,500.0,32.0,1.150,2500.0,7000.0
P600,Press 600T,600.0,101.6,200.0,400.0,22.0,1.100,2000.0,6000.0
P400,Press 400T,400.0,76.2,150.0,300.0,12.0,1.050,1500.0,5000.0
