die_number,dimension1,dimension2,dimension3,dimension4,wt_kg_p_mt,min_wt_kg_p_mt,max_wt_kg_p_mt,description,die_group,die_category,die_sub_category,die_type,die_diagram,die_detail_diagram,customer_approved_diagram,autocad_drawing,die_manufacturing,die_sop,remarks,customer_reference_number
DIE001,25.0,20.0,2.5,,1.325,1.200,1.450,Standard Round Bar,ROUND BAR,Architectural Common Die,Window Profile,Solid,,,,,,,Sample die for testing,REF001
DIE002,38.0,32.0,1.1,,0.472,0.450,0.495,Rectangular Profile,RECTANGULAR TUBE,Architectural Common Die,Window Profile,Solid,,,,,,,High precision die,REF002
DIE003,50.0,50.0,4.0,,1.25,1.200,1.300,Square Profile,SQUARE TUBE,Industrial Common Die,Tube - Square,Solid,,,,,,,Standard square tube,REF003
DIE004,65.0,32.0,1.26,,0.926,0.900,0.950,Custom Profile,FLAT BAR,Architectural Customer Special Die,Door Profile,Solid,,,,,,,Custom architectural profile,REF004
DIE005,40.0,39.3,1.2,,0.572,0.550,0.595,Special Window Profile,SP RECTANGULAR TUBE,Architectural Common Die,Window Profile,Hollow,,,,,,,Special rectangular tube,REF005
DIE006,15.5,10.0,,,0.418,0.400,0.440,Small Round Bar,ROUND BAR,Industrial Common Die,Tube - Round,Solid,,,,,,,Small diameter bar,REF006
DIE007,32.24,17.04,1.2,,0.221,0.200,0.240,L-Angle Profile,EQUAL L ANGLE,Industrial Common Die,Angle - Equal,Semi Hollow,,,,,,,Equal angle section,REF007
DIE008,42.92,20.58,2.0,,0.769,0.750,0.790,Channel Profile,EQUAL CHANNEL,Industrial Common Die,Channel - U Shape,Hollow,,,,,,,U-shaped channel,REF008
DIE009,28.0,,,0.0,1.662,1.600,1.720,Round Bar 28mm,ROUND BAR,Industrial Common Die,Tube - Round,Solid,,,,,,,Standard round bar,REF009
DIE010,47.5,43.0,1.4,,0.684,0.650,0.720,Window Frame Profile,RECTANGULAR TUBE,Architectural Common Die,Window Profile,Solid,,,,,,,Window frame section,REF010
