die_height,die_width
152.4,152.4
203.2,203.2
254.0,254.0
304.8,304.8
355.6,355.6
406.4,406.4
457.2,457.2
508.0,508.0
558.8,558.8
609.6,609.6
100.0,100.0
125.0,125.0
150.0,150.0
175.0,175.0
200.0,200.0
225.0,225.0
250.0,250.0
275.0,275.0
300.0,300.0
325.0,325.0
350.0,350.0
375.0,375.0
400.0,400.0
425.0,425.0
450.0,450.0
475.0,475.0
500.0,500.0
152.4,203.2
203.2,254.0
254.0,304.8
304.8,355.6
355.6,406.4
406.4,457.2
457.2,508.0
180.0,180.0
220.0,220.0
260.0,260.0
300.0,400.0
350.0,450.0
400.0,500.0
