name,deleted
Window Profile,0
Door Profile,0
Curtain Wall,0
Handrail,0
Balustrade,0
Heat Sink - LED,0
Heat Sink - Electronics,0
Heat Sink - Power,0
Tube - Round,0
Tube - Square,0
Tube - Rectangular,0
Angle - Equal,0
Angle - Unequal,0
Channel - U Shape,0
Channel - C Shape,0
T-Section - Standard,0
T-Section - Inverted,0
L-Section - Corner,0
H-Section - Structural,0
Beam - I Section,0
Beam - Box Section,0
Rod - Solid,0
Rod - Threaded,0
Strip - Flat,0
Strip - Corrugated,0
Profile - Custom Shape,0
Profile - Multi-Void,0
Gasket Channel,0
Glazing Bead,0
Sash Profile,0
Frame Profile,0
Mullion,0
Transom,0
Weatherstrip Channel,0
Thermal Break,0
Decorative Trim,0
Structural Glazing,0
Pressure Plate,0
Cover Cap,0
End Cap,0
Corner Connector,0
