die_number,dimension1,dimension2,dimension3,dimension4,wt_kg_p_mt,die_diagram,die_group,die_category
72001,78,24.4,2,0,1.192,die_profile_images/.net_data/72001.jpg,42,1
72002,87.5,41.8,7,0,3.628,die_profile_images/.net_data/64c6f205-7fb5-4f01-a1fa-7706c6588aaa_72002.jpg,42,2
72003,59.2,16.3,1.2,0,0.298,die_profile_images/.net_data/72003.jpg,42,1
72004,46.2,80,2,0,1.6,die_profile_images/.net_data/8ff7f344-189d-41bd-96cd-b6d71144cf0a_72004.jpg,42,2
72005,40,28.4,1.8,0,0.508,die_profile_images/.net_data/72005.jpg,42,1
72006,37,24.4,1.8,0,0.465,die_profile_images/.net_data/72006.jpg,42,1
72007,80,40,1.5,0,1,die_profile_images/.net_data/72007.jpg,42,1
72008,80,70,1.6,0,1.624,die_profile_images/.net_data/72008.jpg,42,1
72009,80,45,1.6,0,1.449,die_profile_images/.net_data/72009.jpg,42,1
72010,31.2,8.8,2.2,0,0.213,die_profile_images/.net_data/72010.jpg,42,1
72011,37.7,8.8,2.2,0,0.254,die_profile_images/.net_data/72011.jpg,42,1
72024,114,40,1.6,0,1.699,die_profile_images/.net_data/d3f3fcc6-6b25-4fd4-9d5a-a2ccce5c9f58_72024.jpg,42,2
72025,119,45,1.6,0,1.957,die_profile_images/.net_data/c40f029d-e453-4cd1-b2c7-0f3a6f7d623e_72024.jpg,42,2
72026,38.8,26.8,2.5,0,0.845,die_profile_images/.net_data/72026.jpg,42,1
72028,52.9,44.3,1.8,0,0.845,die_profile_images/.net_data/72028.jpg,42,1
72029,64.7,54.9,1.8,0,1.207,die_profile_images/.net_data/72029.jpg,42,1
72030,102.5,47,2.5,0,2.843,die_profile_images/.net_data/72030.jpg,42,1
72031,37.6,77.3,3.5,0,2.402,die_profile_images/.net_data/72031.jpg,42,1
72032,69,31.2,1.2,0,0.427,die_profile_images/.net_data/72032.jpg,42,1
72033,73.3,56,2,0,2.1,die_profile_images/.net_data/72033.jpg,42,1
72034,37.6,70,1.8,0,0.85,die_profile_images/.net_data/72034.jpg,42,1
72037,60,50,1.5,0,0.887,die_profile_images/.net_data/d321bf20-27ca-4a95-9b2b-d159887d8ea3_72037.jpg,42,2
72046,76.5,33,3,0,1.82,die_profile_images/.net_data/21ca65cb-66d6-46a3-aca1-c0f25eae7e19_72046.jpg,42,2
72047,109.6,22.6,3,0,2.035,die_profile_images/.net_data/73ffee1b-ed82-4eff-b753-01c181cee1f9_72047.jpg,42,2
