item_code,item_name,item_type_name,category_code,uom_code,secondary_uom_code,conversion_factor,alloy_code,heat_tracking,reorder_level,hsn_code,gst_rate,base_unit,net_weight,purchase_rate,sale_rate,valuation_method_name,minimum_stock,maximum_stock,reorder_qty,making_time_minutes,lead_time_days,bom_required,material_center_name,batch_managed,grn_required
BIL-6063-152,6063 Aluminum Billet 152mm,BILLET,RAW,KG,PCS,45,6063,TRUE,500,76011000,18,KG,45,285.5,320,FIFO,200,2000,500,0,3,FALSE,STORE,TRUE,TRUE
BIL-6061-203,6061 Aluminum Billet 203mm,BILLET,RAW,KG,PCS,80,6061,TRUE,300,76011000,18,KG,80,295.75,330,FIFO,150,1500,300,0,3,FALSE,STORE,TRUE,TRUE
PRF-RND-25,Round Profile 25mm Dia,PROFILE,FG,KG,MTR,1.325,6063,FALSE,100,76041000,18,KG,1.325,0,450,AVG,50,500,100,15,7,TRUE,EXTRUSION,TRUE,FALSE
PRF-FLT-25x5,Flat Bar 25x5mm,PROFILE,FG,KG,MTR,0.337,6063,FALSE,200,76041000,18,KG,0.337,0,425,AVG,100,1000,200,12,7,TRUE,EXTRUSION,TRUE,FALSE
PRF-ANG-25x25,Angle Section 25x25mm,PROFILE,FG,KG,MTR,1.08,6061,FALSE,150,76041000,18,KG,1.08,0,475,AVG,75,750,150,18,7,TRUE,EXTRUSION,TRUE,FALSE
PRF-TUB-50x50,Square Tube 50x50mm,PROFILE,FG,KG,MTR,3.24,6063,FALSE,100,76041000,18,KG,3.24,0,520,AVG,50,500,100,25,10,TRUE,EXTRUSION,TRUE,FALSE
SCR-6063-MIX,6063 Scrap Mixed,SCRAP,RAW,KG,,,,TRUE,1000,76020000,18,KG,1,180,0,FIFO,500,5000,1000,0,1,FALSE,STORE,TRUE,TRUE
SCR-6061-CUT,6061 Cut Off Scrap,SCRAP,RAW,KG,,,,TRUE,500,76020000,18,KG,1,175,0,FIFO,250,2500,500,0,1,FALSE,STORE,TRUE,TRUE
POW-6063-WHT,White Powder Coating,POWDER,CONSUMABLE,KG,,,6063,FALSE,50,32081000,18,KG,1,450,0,AVG,25,250,50,0,5,FALSE,POWDER,TRUE,TRUE
POW-6061-BLK,Black Powder Coating,POWDER,CONSUMABLE,KG,,,6061,FALSE,30,32081000,18,KG,1,475,0,AVG,15,150,30,0,5,FALSE,POWDER,TRUE,TRUE
DIE-SOL-152,Solid Die for 152mm Press,DIE,TOOLING,PCS,,,6063,FALSE,2,84821000,18,PCS,1,25000,0,FIFO,1,10,2,0,30,FALSE,STORE,FALSE,TRUE
DIE-HOL-203,Hollow Die for 203mm Press,DIE,TOOLING,PCS,,,6061,FALSE,1,84821000,18,PCS,1,35000,0,FIFO,1,5,1,0,45,FALSE,STORE,FALSE,TRUE
ING-6063-STD,6063 Standard Ingot,INGOT,RAW,KG,PCS,500,6063,TRUE,2000,76011000,18,KG,500,275,305,FIFO,1000,10000,2000,0,7,FALSE,STORE,TRUE,TRUE
ING-6061-HQ,6061 High Quality Ingot,INGOT,RAW,KG,PCS,600,6061,TRUE,1500,76011000,18,KG,600,290,325,FIFO,750,7500,1500,0,7,FALSE,STORE,TRUE,TRUE
PRF-WIN-6063,Window Profile 6063,PROFILE,FG,KG,MTR,1.85,6063,FALSE,200,76041000,18,KG,1.85,0,580,AVG,100,1000,200,30,10,TRUE,EXTRUSION,TRUE,FALSE
PRF-HSK-LED,LED Heat Sink Profile,PROFILE,FG,KG,MTR,2.15,6061,FALSE,50,76041000,18,KG,2.15,0,650,AVG,25,250,50,45,14,TRUE,EXTRUSION,TRUE,FALSE
PRF-CUR-WALL,Curtain Wall Profile,PROFILE,FG,KG,MTR,3.75,6082,FALSE,75,76041000,18,KG,3.75,0,720,AVG,35,350,75,50,14,TRUE,EXTRUSION,TRUE,FALSE
PRF-STR-BEAM,Structural Beam Profile,PROFILE,FG,KG,MTR,5.2,6061,FALSE,100,76041000,18,KG,5.2,0,850,AVG,50,500,100,60,21,TRUE,EXTRUSION,TRUE,FALSE
PRF-ELE-BUS,Electrical Busbar Profile,PROFILE,FG,KG,MTR,2.85,7020,FALSE,25,76041000,18,KG,2.85,0,950,AVG,15,150,25,40,14,TRUE,EXTRUSION,TRUE,FALSE
PRF-DEC-TRIM,Decorative Trim Profile,PROFILE,FG,KG,MTR,0.85,6463,FALSE,150,76041000,18,KG,0.85,0,780,AVG,75,750,150,35,10,TRUE,EXTRUSION,TRUE,FALSE
