name,description
Bundled,Items packed together in bundles with strapping or binding
Palletized,Items arranged and secured on wooden or plastic pallets
Wooden Crates,Items packed in wooden crates for protection during transport
Cardboard Boxes,Items packed in corrugated cardboard boxes
Shrink Wrapped,Items wrapped in plastic shrink film for protection
Loose Loading,Items loaded individually without specific packaging
Container Loading,Items loaded directly into shipping containers
Truck Loading,Items loaded directly onto truck beds
Bubble Wrapped,Items wrapped in bubble wrap for cushioning
Foam Padding,Items packed with foam padding for extra protection
Vacuum Packed,Items sealed in vacuum-packed plastic bags
Roll Packed,Cylindrical items packed in rolls or tubes
