plant_type,capability,status,is_deleted
HEAT_TREATMENT,PURCHASE,Active,False
HEAT_TREATMENT,INVENTORY,Active,False
HEAT_TREATMENT,QUALITY,Active,False
HEAT_TREATMENT,PRODUCTION,Active,False
HEAT_TREATMENT,CONSUMPTION,Active,False
HEAT_TREATMENT,FINANCE,Active,False
MELTING_CASTING,PURCHASE,Active,False
MELTING_CASTING,INVENTORY,Active,False
MELTING_CASTING,QUALITY,Active,False
MELTING_CASTING,PRODUCTION,Active,False
MELTING_CASTING,CONSUMPTION,Active,False
MELTING_CASTING,FINANCE,Active,False
SITE,PURCHASE,Active,False
SITE,INVENTORY,Active,False
SITE,DISPATCH,Active,False
SITE,QUALITY,Active,False
SITE,PRODUCTION,Active,False
SITE,CONSUMPTION,Active,False
SITE,FINANCE,Active,False
OFFICE,PURCHASE,Active,False
OFFICE,INVENTORY,Active,False
OFFICE,DISPATCH,Active,False
OFFICE,FINANCE,Active,False
FABRICATION,PURCHASE,Active,False
FABRICATION,INVENTORY,Active,False
FABRICATION,DISPATCH,Active,False
FABRICATION,QUALITY,Active,False
FABRICATION,PRODUCTION,Active,False
FABRICATION,CONSUMPTION,Active,False
FABRICATION,FINANCE,Active,False
ANODIZING,PURCHASE,Active,False
ANODIZING,INVENTORY,Active,False
ANODIZING,DISPATCH,Active,False
ANODIZING,QUALITY,Active,False
ANODIZING,PRODUCTION,Active,False
ANODIZING,CONSUMPTION,Active,False
ANODIZING,FINANCE,Active,False
QUALITY_LAB,PURCHASE,Active,False
QUALITY_LAB,INVENTORY,Active,False
QUALITY_LAB,QUALITY,Active,False
QUALITY_LAB,FINANCE,Active,False
EXTRUSION,PURCHASE,Active,False
EXTRUSION,INVENTORY,Active,False
EXTRUSION,DISPATCH,Active,False
EXTRUSION,QUALITY,Active,False
EXTRUSION,PRODUCTION,Active,False
EXTRUSION,CONSUMPTION,Active,False
EXTRUSION,FINANCE,Active,False
POWDER_COATING,PURCHASE,Active,False
POWDER_COATING,INVENTORY,Active,False
POWDER_COATING,DISPATCH,Active,False
POWDER_COATING,QUALITY,Active,False
POWDER_COATING,PRODUCTION,Active,False
POWDER_COATING,CONSUMPTION,Active,False
POWDER_COATING,FINANCE,Active,False
WAREHOUSE,PURCHASE,Active,False
WAREHOUSE,INVENTORY,Active,False
WAREHOUSE,DISPATCH,Active,False
WAREHOUSE,FINANCE,Active,False
