id,party_name,vehicle_no,tare_wt
1,Party_00001,MH01AB00001,5112.577
2,Party_00002,MH02AB00002,6867.182
3,Party_00003,MH03AB00003,7761.303
4,Party_00004,MH04AB00004,11828.914
5,Party_00005,MH05AB00005,5879.014
6,Party_00006,MH06AB00006,12729.966
7,Party_00007,MH07AB00007,13390.56
8,Party_00008,MH08AB00008,5688.366
9,Party_00009,MH09AB00009,7083.282
10,Party_00010,MH10AB00010,7289.221
11,Party_00011,MH11AB00011,11765.472
12,Party_00012,MH12AB00012,6536.015
13,Party_00013,MH13AB00013,10393.682
14,Party_00014,MH14AB00014,2698.121
15,Party_00015,MH15AB00015,11784.564
16,Party_00016,MH16AB00016,6525.876
17,Party_00017,MH17AB00017,3605.263
18,Party_00018,MH18AB00018,13523.136
19,Party_00019,MH19AB00019,14682.609
20,Party_00020,MH20AB00020,3546.232
21,Party_00021,MH21AB00021,13022.923
22,Party_00022,MH22AB00022,2387.56
23,Party_00023,MH23AB00023,10744.285
24,Party_00024,MH24AB00024,14552.46
25,Party_00025,MH25AB00025,12647.542
26,Party_00026,MH26AB00026,12525.297
27,Party_00027,MH27AB00027,10540.803
28,Party_00028,MH28AB00028,6723.276
29,Party_00029,MH29AB00029,12790.319
30,Party_00030,MH30AB00030,14366.772
31,Party_00031,MH31AB00031,6503.381
32,Party_00032,MH32AB00032,5315.519
33,Party_00033,MH33AB00033,8042.377
34,Party_00034,MH34AB00034,11922.733
35,Party_00035,MH35AB00035,13647.303
36,Party_00036,MH36AB00036,13081.866
37,Party_00037,MH37AB00037,14838.627
38,Party_00038,MH38AB00038,4454.656
39,Party_00039,MH39AB00039,13175.213
40,Party_00040,MH40AB00040,9678.068
41,Party_00041,MH41AB00041,8809.413
42,Party_00042,MH42AB00042,2545.282
43,Party_00043,MH43AB00043,8430.794
44,Party_00044,MH44AB00044,11836.945
45,Party_00045,MH45AB00045,14937.061
46,Party_00046,MH46AB00046,2239.063
47,Party_00047,MH47AB00047,9258.088
48,Party_00048,MH48AB00048,9900.588
49,Party_00049,MH49AB00049,14907.902
50,Party_00050,MH50AB00050,6741.914
51,Party_00051,MH51AB00051,6484.815
52,Party_00052,MH52AB00052,5194.084
53,Party_00053,MH53AB00053,11891.808
54,Party_00054,MH54AB00054,3957.266
55,Party_00055,MH55AB00055,6079.319
56,Party_00056,MH56AB00056,7899.522
57,Party_00057,MH57AB00057,8650.997
58,Party_00058,MH58AB00058,2448.647
59,Party_00059,MH59AB00059,14070.019
60,Party_00060,MH60AB00060,9436.899
61,Party_00061,MH61AB00061,6963.595
62,Party_00062,MH62AB00062,3082.187
63,Party_00063,MH63AB00063,12611.426
64,Party_00064,MH64AB00064,11993.202
65,Party_00065,MH65AB00065,10090.367
66,Party_00066,MH66AB00066,10235.937
67,Party_00067,MH67AB00067,6034.245
68,Party_00068,MH68AB00068,8425.297
69,Party_00069,MH69AB00069,12079.916
70,Party_00070,MH70AB00070,7261.686
71,Party_00071,MH71AB00071,2988.412
72,Party_00072,MH72AB00072,8527.823
73,Party_00073,MH73AB00073,5919.559
74,Party_00074,MH74AB00074,6082.938
75,Party_00075,MH75AB00075,7200.24
76,Party_00076,MH76AB00076,6288.418
77,Party_00077,MH77AB00077,5761.356
78,Party_00078,MH78AB00078,3044.054
79,Party_00079,MH79AB00079,12045.899
80,Party_00080,MH80AB00080,5465.772
81,Party_00081,MH81AB00081,3980.514
82,Party_00082,MH82AB00082,13188.393
83,Party_00083,MH83AB00083,5891.39
84,Party_00084,MH84AB00084,9759.059
85,Party_00085,MH85AB00085,4196.467
86,Party_00086,MH86AB00086,7405.174
87,Party_00087,MH87AB00087,4100.07
88,Party_00088,MH88AB00088,4831.088
89,Party_00089,MH89AB00089,11046.383
90,Party_00090,MH90AB00090,9131.684
91,Party_00091,MH91AB00091,2566.073
92,Party_00092,MH92AB00092,13686.639
93,Party_00093,MH93AB00093,11042.479
94,Party_00094,MH94AB00094,12001.09
95,Party_00095,MH95AB00095,8586.317
96,Party_00096,MH96AB00096,9594.185
97,Party_00097,MH97AB00097,8289.422
98,Party_00098,MH98AB00098,9806.1
99,Party_00099,MH99AB00099,3986.893
100,Party_00100,MH00AB00100,5891.658
101,Party_00101,MH01AB00101,12088.806
102,Party_00102,MH02AB00102,7306.777
103,Party_00103,MH03AB00103,8493.375
104,Party_00104,MH04AB00104,10746.927
105,Party_00105,MH05AB00105,6264.467
106,Party_00106,MH06AB00106,5596.896
107,Party_00107,MH07AB00107,3576.058
108,Party_00108,MH08AB00108,13116.016
109,Party_00109,MH09AB00109,10046.54
110,Party_00110,MH10AB00110,7222.627
111,Party_00111,MH11AB00111,6218.523
112,Party_00112,MH12AB00112,8202.86
113,Party_00113,MH13AB00113,2635.674
114,Party_00114,MH14AB00114,13614.19
115,Party_00115,MH15AB00115,3431.701
116,Party_00116,MH16AB00116,3039.938
117,Party_00117,MH17AB00117,14275.44
118,Party_00118,MH18AB00118,3793.032
119,Party_00119,MH19AB00119,8017.091
120,Party_00120,MH20AB00120,14470.434
121,Party_00121,MH21AB00121,5321.019
122,Party_00122,MH22AB00122,7479.303
123,Party_00123,MH23AB00123,14528.259
124,Party_00124,MH24AB00124,11440.024
125,Party_00125,MH25AB00125,6241.145
126,Party_00126,MH26AB00126,12456.591
127,Party_00127,MH27AB00127,9524.344
128,Party_00128,MH28AB00128,4075.246
129,Party_00129,MH29AB00129,6342.195
130,Party_00130,MH30AB00130,8203.083
131,Party_00131,MH31AB00131,3582.489
132,Party_00132,MH32AB00132,5852.271
133,Party_00133,MH33AB00133,14767.452
134,Party_00134,MH34AB00134,7717.194
135,Party_00135,MH35AB00135,9041.116
136,Party_00136,MH36AB00136,13945.869
137,Party_00137,MH37AB00137,12224.775
138,Party_00138,MH38AB00138,2048.502
139,Party_00139,MH39AB00139,8642.585
140,Party_00140,MH40AB00140,7302.032
141,Party_00141,MH41AB00141,12039.727
142,Party_00142,MH42AB00142,3156.801
143,Party_00143,MH43AB00143,5886.805
144,Party_00144,MH44AB00144,7463.909
145,Party_00145,MH45AB00145,8679.391
146,Party_00146,MH46AB00146,11780.424
147,Party_00147,MH47AB00147,11088.967
148,Party_00148,MH48AB00148,9746.351
149,Party_00149,MH49AB00149,7958.111
150,Party_00150,MH50AB00150,13430.233
151,Party_00151,MH51AB00151,3968.231
152,Party_00152,MH52AB00152,8423.758
153,Party_00153,MH53AB00153,6600.224
154,Party_00154,MH54AB00154,11387.458
155,Party_00155,MH55AB00155,3586.084
156,Party_00156,MH56AB00156,5220.024
157,Party_00157,MH57AB00157,11877.212
158,Party_00158,MH58AB00158,12162.253
159,Party_00159,MH59AB00159,13455.159
160,Party_00160,MH60AB00160,10084.396
161,Party_00161,MH61AB00161,4591.795
162,Party_00162,MH62AB00162,10916.142
163,Party_00163,MH63AB00163,3089.675
164,Party_00164,MH64AB00164,14066.367
165,Party_00165,MH65AB00165,11317.727
166,Party_00166,MH66AB00166,9415.331
167,Party_00167,MH67AB00167,3250.449
168,Party_00168,MH68AB00168,8288.613
169,Party_00169,MH69AB00169,5139.901
170,Party_00170,MH70AB00170,7002.111
171,Party_00171,MH71AB00171,9989.263
172,Party_00172,MH72AB00172,4467.208
173,Party_00173,MH73AB00173,6388.648
174,Party_00174,MH74AB00174,2919.245
175,Party_00175,MH75AB00175,3004.632
176,Party_00176,MH76AB00176,3565.232
177,Party_00177,MH77AB00177,11034.027
178,Party_00178,MH78AB00178,10138.882
179,Party_00179,MH79AB00179,4949.75
180,Party_00180,MH80AB00180,14369.496
181,Party_00181,MH81AB00181,9234.148
182,Party_00182,MH82AB00182,12799.911
183,Party_00183,MH83AB00183,7083.835
184,Party_00184,MH84AB00184,14605.051
185,Party_00185,MH85AB00185,7452.375
186,Party_00186,MH86AB00186,5649.915
187,Party_00187,MH87AB00187,14393.351
188,Party_00188,MH88AB00188,9575.189
189,Party_00189,MH89AB00189,14026.265
190,Party_00190,MH90AB00190,14792.382
191,Party_00191,MH91AB00191,8805.418
192,Party_00192,MH92AB00192,7449.753
193,Party_00193,MH93AB00193,14874.275
194,Party_00194,MH94AB00194,10257.761
195,Party_00195,MH95AB00195,2628.556
196,Party_00196,MH96AB00196,11506.918
197,Party_00197,MH97AB00197,4688.972
198,Party_00198,MH98AB00198,12966.662
199,Party_00199,MH99AB00199,5566.357
200,Party_00200,MH00AB00200,7537.309
201,Party_00201,MH01AB00201,11063.808
202,Party_00202,MH02AB00202,4539.797
203,Party_00203,MH03AB00203,12152.566
204,Party_00204,MH04AB00204,3586.204
205,Party_00205,MH05AB00205,14265.123
206,Party_00206,MH06AB00206,4872.433
207,Party_00207,MH07AB00207,2871.606
208,Party_00208,MH08AB00208,13517.318
209,Party_00209,MH09AB00209,12260.016
210,Party_00210,MH10AB00210,8016.162
211,Party_00211,MH11AB00211,3271.612
212,Party_00212,MH12AB00212,12809.459
213,Party_00213,MH13AB00213,4312.791
214,Party_00214,MH14AB00214,3570.782
215,Party_00215,MH15AB00215,7365.746
216,Party_00216,MH16AB00216,7577.089
217,Party_00217,MH17AB00217,8647.475
218,Party_00218,MH18AB00218,10266.778
219,Party_00219,MH19AB00219,8297.53
220,Party_00220,MH20AB00220,6323.426
221,Party_00221,MH21AB00221,5917.09
222,Party_00222,MH22AB00222,13734.824
223,Party_00223,MH23AB00223,14775.201
224,Party_00224,MH24AB00224,5822.333
225,Party_00225,MH25AB00225,5279.271
226,Party_00226,MH26AB00226,13984.04
227,Party_00227,MH27AB00227,5788.337
228,Party_00228,MH28AB00228,7412.93
229,Party_00229,MH29AB00229,2524.021
230,Party_00230,MH30AB00230,6215.573
231,Party_00231,MH31AB00231,5649.555
232,Party_00232,MH32AB00232,3282.493
233,Party_00233,MH33AB00233,11989.632
234,Party_00234,MH34AB00234,9447.201
235,Party_00235,MH35AB00235,9241.033
236,Party_00236,MH36AB00236,9402.159
237,Party_00237,MH37AB00237,11384.996
238,Party_00238,MH38AB00238,13459.568
239,Party_00239,MH39AB00239,13800.979
240,Party_00240,MH40AB00240,12542.468
241,Party_00241,MH41AB00241,11111.007
242,Party_00242,MH42AB00242,8350.95
243,Party_00243,MH43AB00243,9431.522
244,Party_00244,MH44AB00244,8205.239
245,Party_00245,MH45AB00245,11179.447
246,Party_00246,MH46AB00246,4176.077
247,Party_00247,MH47AB00247,8275.875
248,Party_00248,MH48AB00248,2997.12
249,Party_00249,MH49AB00249,5243.852
250,Party_00250,MH50AB00250,3107.135
251,Party_00251,MH51AB00251,4258.608
252,Party_00252,MH52AB00252,13619.645
253,Party_00253,MH53AB00253,6402.156
254,Party_00254,MH54AB00254,6617.64
255,Party_00255,MH55AB00255,2974.736
256,Party_00256,MH56AB00256,14460.143
257,Party_00257,MH57AB00257,13800.336
258,Party_00258,MH58AB00258,10603.757
259,Party_00259,MH59AB00259,14078.367
260,Party_00260,MH60AB00260,13459.792
261,Party_00261,MH61AB00261,3650.207
262,Party_00262,MH62AB00262,4298.372
263,Party_00263,MH63AB00263,2577.928
264,Party_00264,MH64AB00264,4856.707
265,Party_00265,MH65AB00265,12139.71
266,Party_00266,MH66AB00266,10000.082
267,Party_00267,MH67AB00267,9589.811
268,Party_00268,MH68AB00268,4802.823
269,Party_00269,MH69AB00269,11217.354
270,Party_00270,MH70AB00270,12202.743
271,Party_00271,MH71AB00271,2889.458
272,Party_00272,MH72AB00272,10120.451
273,Party_00273,MH73AB00273,10235.581
274,Party_00274,MH74AB00274,3120.312
275,Party_00275,MH75AB00275,6248.292
276,Party_00276,MH76AB00276,3694.836
277,Party_00277,MH77AB00277,9138.763
278,Party_00278,MH78AB00278,11820.233
279,Party_00279,MH79AB00279,3773.905
280,Party_00280,MH80AB00280,10747.218
281,Party_00281,MH81AB00281,12027.831
282,Party_00282,MH82AB00282,9759.386
283,Party_00283,MH83AB00283,14422.199
284,Party_00284,MH84AB00284,13564.921
285,Party_00285,MH85AB00285,2236.171
286,Party_00286,MH86AB00286,10876.034
287,Party_00287,MH87AB00287,6063.444
288,Party_00288,MH88AB00288,12125.825
289,Party_00289,MH89AB00289,11438.484
290,Party_00290,MH90AB00290,3379.541
291,Party_00291,MH91AB00291,14145.03
292,Party_00292,MH92AB00292,11338.651
293,Party_00293,MH93AB00293,3111.191
294,Party_00294,MH94AB00294,13355.118
295,Party_00295,MH95AB00295,2048.993
296,Party_00296,MH96AB00296,10564.827
297,Party_00297,MH97AB00297,6007.142
298,Party_00298,MH98AB00298,12342.477
299,Party_00299,MH99AB00299,12581.454
300,Party_00300,MH00AB00300,3039.516
301,Party_00301,MH01AB00301,4307.628
302,Party_00302,MH02AB00302,14439.249
303,Party_00303,MH03AB00303,14382.517
304,Party_00304,MH04AB00304,3472.268
305,Party_00305,MH05AB00305,2620.019
306,Party_00306,MH06AB00306,3123.457
307,Party_00307,MH07AB00307,13256.607
308,Party_00308,MH08AB00308,13878.22
309,Party_00309,MH09AB00309,10933.384
310,Party_00310,MH10AB00310,6400.066
311,Party_00311,MH11AB00311,6055.859
312,Party_00312,MH12AB00312,8309.58
313,Party_00313,MH13AB00313,12182.815
314,Party_00314,MH14AB00314,9586.326
315,Party_00315,MH15AB00315,11294.689
